year,time_aggregation_value,census_tract,totalrequests
2016.0,3.0,008001,186.0
2016.0,3.0,008002,173.0
2016.0,3.0,008100,108.0
2016.0,3.0,008200,137.0
2016.0,3.0,008301,487.0
2016.0,3.0,008302,467.0
2016.0,3.0,008402,119.0
2016.0,3.0,008410,201.0
2016.0,3.0,008701,125.0
2016.0,3.0,008702,88.0
2016.0,3.0,008802,229.0
2016.0,3.0,008803,73.0
2016.0,3.0,008804,92.0
2016.0,3.0,008903,127.0
2016.0,3.0,008904,81.0
2016.0,3.0,009000,64.0
2016.0,3.0,009102,177.0
2016.0,3.0,009201,53.0
2016.0,3.0,009203,113.0
2016.0,3.0,009204,48.0
2016.0,3.0,009301,126.0
2016.0,3.0,009302,65.0
2016.0,3.0,009400,204.0
2016.0,3.0,009501,106.0
2016.0,3.0,009503,166.0
2016.0,3.0,009504,134.0
2016.0,3.0,009505,148.0
2016.0,3.0,009507,68.0
2016.0,3.0,009508,99.0
2016.0,3.0,009509,148.0
2016.0,3.0,009601,79.0
2016.0,3.0,009602,33.0
2016.0,3.0,009603,86.0
2016.0,3.0,009604,87.0
2016.0,3.0,009700,90.0
2016.0,3.0,009801,57.0
2016.0,3.0,009802,44.0
2016.0,3.0,009803,65.0
2016.0,3.0,009804,64.0
2016.0,3.0,009807,134.0
2016.0,3.0,009810,29.0
2016.0,3.0,009811,69.0
2016.0,3.0,009901,130.0
2016.0,3.0,009902,146.0
2016.0,3.0,009903,69.0
2016.0,3.0,009904,115.0
2016.0,3.0,009905,102.0
2016.0,3.0,009906,54.0
2016.0,3.0,009907,63.0
2016.0,3.0,010100,275.0
2016.0,3.0,010200,354.0
2016.0,3.0,010300,123.0
2016.0,3.0,010400,184.0
2016.0,3.0,010500,159.0
2016.0,3.0,010600,361.0
2016.0,3.0,010700,557.0
2016.0,3.0,010800,461.0
2016.0,3.0,010900,52.0
2016.0,3.0,011000,54.0
2016.0,3.0,011100,304.0
2016.0,4.0,000100,330.0
2016.0,4.0,000201,8.0
2016.0,4.0,000202,303.0
2016.0,4.0,000300,190.0
2016.0,4.0,000400,75.0
2016.0,4.0,000501,52.0
2016.0,4.0,000502,95.0
2016.0,4.0,000600,125.0
2016.0,4.0,000701,82.0
2016.0,4.0,000702,41.0
2016.0,4.0,000801,173.0
2016.0,4.0,000802,191.0
2016.0,4.0,000901,136.0
2016.0,4.0,000902,87.0
2016.0,4.0,001001,373.0
2016.0,4.0,001002,78.0
2016.0,4.0,001100,292.0
2016.0,4.0,001200,182.0
2016.0,4.0,001301,95.0
2016.0,4.0,001302,81.0
2016.0,4.0,001401,109.0
2016.0,4.0,001402,103.0
2016.0,4.0,001500,155.0
2016.0,4.0,001600,193.0
2016.0,4.0,001702,158.0
2016.0,4.0,001803,79.0
2016.0,4.0,001804,120.0
2016.0,4.0,001901,187.0
2016.0,4.0,001902,99.0
2016.0,4.0,002001,63.0
2016.0,4.0,002002,182.0
2016.0,4.0,002101,151.0
2016.0,4.0,002102,210.0
2016.0,4.0,002201,165.0
2016.0,4.0,002202,115.0
2016.0,4.0,002301,155.0
2016.0,4.0,002302,24.0
2016.0,4.0,002400,182.0
2016.0,4.0,002501,100.0
2016.0,4.0,002502,221.0
2016.0,4.0,002600,97.0
2016.0,4.0,002701,83.0
2016.0,4.0,002702,163.0
2016.0,4.0,002801,63.0
2016.0,4.0,002802,168.0
2016.0,4.0,002900,153.0
2016.0,4.0,003000,79.0
2016.0,4.0,003100,130.0
2016.0,4.0,003200,236.0
2016.0,4.0,003301,182.0
2016.0,4.0,003302,88.0
2016.0,4.0,003400,213.0
2016.0,4.0,003500,118.0
2016.0,4.0,003600,88.0
